,shell,median,upper,lower,stddev,nstars
0,$<$10 pc,17.867796243604733,0.07161431812493646,0.07132843300386682,0.2033994363496507,61
1,10-20 pc,18.24698753813535,0.07313412088216964,0.036457505418354685,0.35929651692802356,34
2,20-30 pc,18.393548902237065,0.0552635005098594,0.07342724321954464,0.34646564751192177,28
3,30-50 pc,18.46727044263145,0.11113669934391268,0.09210589558699311,0.36396969627103637,18
4,50-70 pc,18.448812402746924,0.11102561819441448,0.09201383572899857,0.41626763245146303,14
5,70-100 pc,18.615601137857198,0.22473291435190745,0.22205223562013288,0.4793138340990009,9
