,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,15.9%,median,84.1%
log_amp,-1.663,0.295,-2.174,-1.104,0.017,0.012,321.0,680.0,1.0,-1.951,-1.695,-1.372
log_amp2,-31.921,60.553,-94.402,-2.83,4.174,2.955,295.0,224.0,1.0,-47.623,-15.017,-6.683
log_avg,2.873,0.007,2.857,2.884,0.0,0.0,312.0,263.0,1.01,2.866,2.874,2.879
log_scale,-0.875,0.379,-1.537,-0.14,0.025,0.018,230.0,603.0,1.01,-1.253,-0.887,-0.498
log_scale2,-1.995,0.501,-3.015,-1.091,0.015,0.011,1117.0,1259.0,1.0,-2.498,-1.98,-1.499
